Success,Tactic,Technique-name,ability-name,Technique-id,operation_fname,adversary_id,atomic_ordering,NAME
Initial-Success,defense-evasion,defense-evasion :: Virtualization/Sandbox Evasion: System Checks,defense-evasion :: ['Check Security Services'],defense-evasion :: T1497.001,"operation__stockpile_windows_depfalse_pshtrue__t1497_001__defense-evasion__virtualization,sandbox_evasion-_system_checks__1258b063-27d6-489b-a677-4807faacf868__SAVED_2024-03-10_001340","stockpile_windows_depfalse_pshtrue__t1497_001__defense-evasion__virtualization,sandbox_evasion-_system_checks__1258b063-27d6-489b-a677-4807faacf868",['1258b063-27d6-489b-a677-4807faacf868'],['Check Security Services']
Initial-Success,defense-evasion,defense-evasion :: Virtualization/Sandbox Evasion: System Checks,defense-evasion :: ['Check analysis environment processes'],defense-evasion :: T1497.001,"operation__stockpile_windows_depfalse_pshtrue__t1497_001__defense-evasion__virtualization,sandbox_evasion-_system_checks__7a6ba833-de40-466a-8969-5c37b13603e0__SAVED_2024-03-10_002237","stockpile_windows_depfalse_pshtrue__t1497_001__defense-evasion__virtualization,sandbox_evasion-_system_checks__7a6ba833-de40-466a-8969-5c37b13603e0",['7a6ba833-de40-466a-8969-5c37b13603e0'],['Check analysis environment processes']
Initial-Success,impact,impact :: Resource Hijacking,impact :: ['Crypto (Monero) Mining'],impact :: T1496,operation__stockpile_windows_depfalse_pshtrue__t1496__impact__resource_hijacking__46da2385-cf37-49cb-ba4b-a739c7a19de4__SAVED_2024-03-10_000441,stockpile_windows_depfalse_pshtrue__t1496__impact__resource_hijacking__46da2385-cf37-49cb-ba4b-a739c7a19de4,['46da2385-cf37-49cb-ba4b-a739c7a19de4'],['Crypto (Monero) Mining']
Initial-Success,impact,impact :: Defacement,impact :: ['Leave note'],impact :: T1491,operation__stockpile_windows_depfalse_pshtrue__t1491__impact__defacement__47d08617-5ce1-424a-8cc5-c9c978ce6bf9__SAVED_2024-03-09_235547,stockpile_windows_depfalse_pshtrue__t1491__impact__defacement__47d08617-5ce1-424a-8cc5-c9c978ce6bf9,['47d08617-5ce1-424a-8cc5-c9c978ce6bf9'],['Leave note']
Initial-Success,discovery,discovery :: Domain Trust Discovery,discovery :: ['GetDomain'],discovery :: T1482,operation__stockpile_windows_depfalse_pshtrue__t1482__discovery__domain_trust_discovery__6131397e-7765-424e-a594-3d7fb2d93a6a__SAVED_2024-03-09_234659,stockpile_windows_depfalse_pshtrue__t1482__discovery__domain_trust_discovery__6131397e-7765-424e-a594-3d7fb2d93a6a,['6131397e-7765-424e-a594-3d7fb2d93a6a'],['GetDomain']
Initial-Success,discovery,discovery :: Password Policy Discovery,discovery :: ['Password Policy'],discovery :: T1201,operation__stockpile_windows_depfalse_pshtrue__t1201__discovery__password_policy_discovery__e82f39e2-56f8-4f19-8376-b007f9ac5f8a__SAVED_2024-03-09_232914,stockpile_windows_depfalse_pshtrue__t1201__discovery__password_policy_discovery__e82f39e2-56f8-4f19-8376-b007f9ac5f8a,['e82f39e2-56f8-4f19-8376-b007f9ac5f8a'],['Password Policy']
Initial-Success,discovery,discovery :: Network Share Discovery,discovery :: ['View admin shares'],discovery :: T1135,operation__stockpile_windows_depfalse_pshtrue__t1135__discovery__network_share_discovery__530e47c6-8592-42bf-91df-c59ffbd8541b__SAVED_2024-03-09_232016,stockpile_windows_depfalse_pshtrue__t1135__discovery__network_share_discovery__530e47c6-8592-42bf-91df-c59ffbd8541b,['530e47c6-8592-42bf-91df-c59ffbd8541b'],['View admin shares']
Initial-Success,discovery,discovery :: System Time Discovery,discovery :: ['Get System Time'],discovery :: T1124,operation__stockpile_windows_depfalse_pshtrue__t1124__discovery__system_time_discovery__fa6e8607-e0b1-425d-8924-9b894da5a002__SAVED_2024-03-09_231117,stockpile_windows_depfalse_pshtrue__t1124__discovery__system_time_discovery__fa6e8607-e0b1-425d-8924-9b894da5a002,['fa6e8607-e0b1-425d-8924-9b894da5a002'],['Get System Time']
Initial-Success,collection,collection :: Clipboard Data,collection :: ['Copy Clipboard'],collection :: T1115,operation__stockpile_windows_depfalse_pshtrue__t1115__collection__clipboard_data__b007fe0c-c6b0-4fda-915c-255bbc070de2__SAVED_2024-03-09_225321,stockpile_windows_depfalse_pshtrue__t1115__collection__clipboard_data__b007fe0c-c6b0-4fda-915c-255bbc070de2,['b007fe0c-c6b0-4fda-915c-255bbc070de2'],['Copy Clipboard']
Initial-Success,collection,collection :: Screen Capture,collection :: ['Screen Capture'],collection :: T1113,operation__stockpile_windows_depfalse_pshtrue__t1113__collection__screen_capture__316251ed-6a28-4013-812b-ddf5b5b007f8__SAVED_2024-03-09_224430,stockpile_windows_depfalse_pshtrue__t1113__collection__screen_capture__316251ed-6a28-4013-812b-ddf5b5b007f8,['316251ed-6a28-4013-812b-ddf5b5b007f8'],['Screen Capture']
Initial-Success,command-and-control,command-and-control :: Ingress Tool Transfer,command-and-control :: ['Install PSTools'],command-and-control :: T1105,operation__stockpile_windows_depfalse_pshtrue__t1105__command-and-control__ingress_tool_transfer__eb814e03-811a-467a-bc6d-dcd453750fa2__SAVED_2024-03-09_223536,stockpile_windows_depfalse_pshtrue__t1105__command-and-control__ingress_tool_transfer__eb814e03-811a-467a-bc6d-dcd453750fa2,['eb814e03-811a-467a-bc6d-dcd453750fa2'],['Install PSTools']
Initial-Success,command-and-control,command-and-control :: Ingress Tool Transfer,command-and-control :: ['Install PowerShell Core 6'],command-and-control :: T1105,operation__stockpile_windows_depfalse_pshtrue__t1105__command-and-control__ingress_tool_transfer__60f63260-39bb-4136-87a0-b6c2dca799fc__SAVED_2024-03-09_222636,stockpile_windows_depfalse_pshtrue__t1105__command-and-control__ingress_tool_transfer__60f63260-39bb-4136-87a0-b6c2dca799fc,['60f63260-39bb-4136-87a0-b6c2dca799fc'],['Install PowerShell Core 6']
Initial-Success,discovery,discovery :: Account Discovery: Local Account,discovery :: ['Identify local users'],discovery :: T1087.001,operation__stockpile_windows_depfalse_pshtrue__t1087_001__discovery__account_discovery-_local_account__feaced8f-f43f-452a-9500-a5219488abb8__SAVED_2024-03-09_221744,stockpile_windows_depfalse_pshtrue__t1087_001__discovery__account_discovery-_local_account__feaced8f-f43f-452a-9500-a5219488abb8,['feaced8f-f43f-452a-9500-a5219488abb8'],['Identify local users']
Initial-Success,discovery,discovery :: File and Directory Discovery,discovery :: ['List Directory'],discovery :: T1083,operation__stockpile_windows_depfalse_pshtrue__t1083__discovery__file_and_directory_discovery__52177cc1-b9ab-4411-ac21-2eadc4b5d3b8__SAVED_2024-03-09_215947,stockpile_windows_depfalse_pshtrue__t1083__discovery__file_and_directory_discovery__52177cc1-b9ab-4411-ac21-2eadc4b5d3b8,['52177cc1-b9ab-4411-ac21-2eadc4b5d3b8'],['List Directory']
Initial-Success,discovery,discovery :: File and Directory Discovery,discovery :: ['Print Working Directory'],discovery :: T1083,operation__stockpile_windows_depfalse_pshtrue__t1083__discovery__file_and_directory_discovery__6e1a53c0-7352-4899-be35-fa7f364d5722__SAVED_2024-03-09_220848,stockpile_windows_depfalse_pshtrue__t1083__discovery__file_and_directory_discovery__6e1a53c0-7352-4899-be35-fa7f364d5722,['6e1a53c0-7352-4899-be35-fa7f364d5722'],['Print Working Directory']
Initial-Success,discovery,discovery :: System Information Discovery,discovery :: ['Find OS Version'],discovery :: T1082,operation__stockpile_windows_depfalse_pshtrue__t1082__discovery__system_information_discovery__b6b105b9-41dc-490b-bc5c-80d699b82ce8__SAVED_2024-03-09_215055,stockpile_windows_depfalse_pshtrue__t1082__discovery__system_information_discovery__b6b105b9-41dc-490b-bc5c-80d699b82ce8,['b6b105b9-41dc-490b-bc5c-80d699b82ce8'],['Find OS Version']
Initial-Success,discovery,discovery :: System Information Discovery,discovery :: ['PowerShell version'],discovery :: T1082,operation__stockpile_windows_depfalse_pshtrue__t1082__discovery__system_information_discovery__29451844-9b76-4e16-a9ee-d6feab4b24db__SAVED_2024-03-09_214207,stockpile_windows_depfalse_pshtrue__t1082__discovery__system_information_discovery__29451844-9b76-4e16-a9ee-d6feab4b24db,['29451844-9b76-4e16-a9ee-d6feab4b24db'],['PowerShell version']
Initial-Success,collection,collection :: Data Staged: Local Data Staging,collection :: ['Create staging directory'],collection :: T1074.001,operation__stockpile_windows_depfalse_pshtrue__t1074_001__collection__data_staged-_local_data_staging__6469befa-748a-4b9c-a96d-f191fde47d89__SAVED_2024-03-09_213314,stockpile_windows_depfalse_pshtrue__t1074_001__collection__data_staged-_local_data_staging__6469befa-748a-4b9c-a96d-f191fde47d89,['6469befa-748a-4b9c-a96d-f191fde47d89'],['Create staging directory']
Initial-Success,defense-evasion,defense-evasion :: Indicator Removal on Host: File Deletion,defense-evasion :: ['Deadman - Delete agent file'],defense-evasion :: T1070.004,operation__stockpile_windows_depfalse_pshtrue__t1070_004__defense-evasion__indicator_removal_on_host-_file_deletion__5f844ac9-5f24-4196-a70d-17f0bd44a934__SAVED_2024-03-09_212424,stockpile_windows_depfalse_pshtrue__t1070_004__defense-evasion__indicator_removal_on_host-_file_deletion__5f844ac9-5f24-4196-a70d-17f0bd44a934,['5f844ac9-5f24-4196-a70d-17f0bd44a934'],['Deadman - Delete agent file']
Initial-Success,defense-evasion,defense-evasion :: Indicator Removal on Host: Clear Command History,defense-evasion :: ['Avoid logs'],defense-evasion :: T1070.003,operation__stockpile_windows_depfalse_pshtrue__t1070_003__defense-evasion__indicator_removal_on_host-_clear_command_history__43b3754c-def4-4699-a673-1d85648fda6a__SAVED_2024-03-09_210645,stockpile_windows_depfalse_pshtrue__t1070_003__defense-evasion__indicator_removal_on_host-_clear_command_history__43b3754c-def4-4699-a673-1d85648fda6a,['43b3754c-def4-4699-a673-1d85648fda6a'],['Avoid logs']
Initial-Success,defense-evasion,defense-evasion :: Indicator Removal on Host: Clear Windows Event Logs,defense-evasion :: ['Clear Logs'],defense-evasion :: T1070.001,operation__stockpile_windows_depfalse_pshtrue__t1070_001__defense-evasion__indicator_removal_on_host-_clear_windows_event_logs__fcf71ee3-d1a9-4136-b919-9e5f6da43608__SAVED_2024-03-09_205758,stockpile_windows_depfalse_pshtrue__t1070_001__defense-evasion__indicator_removal_on_host-_clear_windows_event_logs__fcf71ee3-d1a9-4136-b919-9e5f6da43608,['fcf71ee3-d1a9-4136-b919-9e5f6da43608'],['Clear Logs']
Initial-Success,discovery,discovery :: Permission Groups Discovery: Local Groups,discovery :: ['Permission Groups Discovery'],discovery :: T1069.001,operation__stockpile_windows_depfalse_pshtrue__t1069_001__discovery__permission_groups_discovery-_local_groups__5c4dd985-89e3-4590-9b57-71fed66ff4e2__SAVED_2024-03-09_202123,stockpile_windows_depfalse_pshtrue__t1069_001__discovery__permission_groups_discovery-_local_groups__5c4dd985-89e3-4590-9b57-71fed66ff4e2,['5c4dd985-89e3-4590-9b57-71fed66ff4e2'],['Permission Groups Discovery']
Initial-Success,execution,execution :: Command and Scripting Interpreter: PowerShell,execution :: ['PowerShell Invoke MimiKats'],execution :: T1059.001,operation__stockpile_windows_depfalse_pshtrue__t1059_001__execution__command_and_scripting_interpreter-_powershell__ccdb8caf-c69e-424b-b930-551969450c57__SAVED_2024-03-09_201229,stockpile_windows_depfalse_pshtrue__t1059_001__execution__command_and_scripting_interpreter-_powershell__ccdb8caf-c69e-424b-b930-551969450c57,['ccdb8caf-c69e-424b-b930-551969450c57'],['PowerShell Invoke MimiKats']
Initial-Success,execution,execution :: Command and Scripting Interpreter: PowerShell,execution :: ['Emulate Administrator Tasks'],execution :: T1059.001,operation__stockpile_windows_depfalse_pshtrue__t1059_001__execution__command_and_scripting_interpreter-_powershell__315cedf1-4a3a-4015-b63f-149d64bacbbc__SAVED_2024-03-09_195450,stockpile_windows_depfalse_pshtrue__t1059_001__execution__command_and_scripting_interpreter-_powershell__315cedf1-4a3a-4015-b63f-149d64bacbbc,['315cedf1-4a3a-4015-b63f-149d64bacbbc'],['Emulate Administrator Tasks']
Initial-Success,defense-evasion,defense-evasion :: PowerShell,defense-evasion :: ['Move Powershell & triage'],defense-evasion :: T1059.001,operation__stockpile_windows_depfalse_pshtrue__t1059_001__defense-evasion__powershell__e5f9de8f-3df1-4e78-ad92-a784e3f6770d__SAVED_2024-03-09_193633,stockpile_windows_depfalse_pshtrue__t1059_001__defense-evasion__powershell__e5f9de8f-3df1-4e78-ad92-a784e3f6770d,['e5f9de8f-3df1-4e78-ad92-a784e3f6770d'],['Move Powershell & triage']
Initial-Success,collection,collection :: Command and Scripting Interpreter: PowerShell,collection :: ['cmd.exe information gathering'],collection :: T1059.001,operation__stockpile_windows_depfalse_pshtrue__t1059_001__collection__command_and_scripting_interpreter-_powershell__55678719-e76e-4df9-92aa-10655bbd1cf4__SAVED_2024-03-09_191844,stockpile_windows_depfalse_pshtrue__t1059_001__collection__command_and_scripting_interpreter-_powershell__55678719-e76e-4df9-92aa-10655bbd1cf4,['55678719-e76e-4df9-92aa-10655bbd1cf4'],['cmd.exe information gathering']
Initial-Success,collection,collection :: Command and Scripting Interpreter: PowerShell,collection :: ['PowerShell information gathering'],collection :: T1059.001,operation__stockpile_windows_depfalse_pshtrue__t1059_001__collection__command_and_scripting_interpreter-_powershell__702bfdd2-9947-4eda-b551-c3a1ea9a59a2__SAVED_2024-03-09_192740,stockpile_windows_depfalse_pshtrue__t1059_001__collection__command_and_scripting_interpreter-_powershell__702bfdd2-9947-4eda-b551-c3a1ea9a59a2,['702bfdd2-9947-4eda-b551-c3a1ea9a59a2'],['PowerShell information gathering']
Initial-Success,discovery,discovery :: Process Discovery,discovery :: ['View Processes'],discovery :: T1057,operation__stockpile_windows_depfalse_pshtrue__t1057__discovery__process_discovery__335cea7b-bec0-48c6-adfb-6066070f5f68__SAVED_2024-03-09_185149,stockpile_windows_depfalse_pshtrue__t1057__discovery__process_discovery__335cea7b-bec0-48c6-adfb-6066070f5f68,['335cea7b-bec0-48c6-adfb-6066070f5f68'],['View Processes']
Initial-Success,discovery,discovery :: Process Discovery,discovery :: ['tasklist Process Enumeration'],discovery :: T1057,operation__stockpile_windows_depfalse_pshtrue__t1057__discovery__process_discovery__8adf02e8-6e71-4244-886c-98c402857404__SAVED_2024-03-09_190944,stockpile_windows_depfalse_pshtrue__t1057__discovery__process_discovery__8adf02e8-6e71-4244-886c-98c402857404,['8adf02e8-6e71-4244-886c-98c402857404'],['tasklist Process Enumeration']
Initial-Success,discovery,discovery :: Process Discovery,discovery :: ['Discover injectable process'],discovery :: T1057,operation__stockpile_windows_depfalse_pshtrue__t1057__discovery__process_discovery__05cda6f6-2b1b-462e-bff1-845af94343f7__SAVED_2024-03-09_184259,stockpile_windows_depfalse_pshtrue__t1057__discovery__process_discovery__05cda6f6-2b1b-462e-bff1-845af94343f7,['05cda6f6-2b1b-462e-bff1-845af94343f7'],['Discover injectable process']
Initial-Success,discovery,discovery :: Process Discovery,discovery :: ['PowerShell Process Enumeration'],discovery :: T1057,operation__stockpile_windows_depfalse_pshtrue__t1057__discovery__process_discovery__4d9b079c-9ede-4116-8b14-72ad3a5533af__SAVED_2024-03-09_190048,stockpile_windows_depfalse_pshtrue__t1057__discovery__process_discovery__4d9b079c-9ede-4116-8b14-72ad3a5533af,['4d9b079c-9ede-4116-8b14-72ad3a5533af'],['PowerShell Process Enumeration']
Initial-Success,collection,collection :: Process Discovery,collection :: ['SysInternals PSTool Process Discovery'],collection :: T1057,operation__stockpile_windows_depfalse_pshtrue__t1057__collection__process_discovery__cc191baa-7472-4386-a2f4-42f203f1acfd__SAVED_2024-03-09_183401,stockpile_windows_depfalse_pshtrue__t1057__collection__process_discovery__cc191baa-7472-4386-a2f4-42f203f1acfd,['cc191baa-7472-4386-a2f4-42f203f1acfd'],['SysInternals PSTool Process Discovery']
Initial-Success,defense-evasion,defense-evasion :: Process Injection: Portable Executable Injection,defense-evasion :: ['Signed Binary Execution - Mavinject'],defense-evasion :: T1055.002,operation__stockpile_windows_depfalse_pshtrue__t1055_002__defense-evasion__process_injection-_portable_executable_injection__e5bcefee-262d-4568-a261-e8a20855ec81__SAVED_2024-03-09_182503,stockpile_windows_depfalse_pshtrue__t1055_002__defense-evasion__process_injection-_portable_executable_injection__e5bcefee-262d-4568-a261-e8a20855ec81,['e5bcefee-262d-4568-a261-e8a20855ec81'],['Signed Binary Execution - Mavinject']
Initial-Success,credential-access,credential-access :: Process Injection: Portable Executable Injection,credential-access :: ['Inject Cred dumper into process (Spookier)'],credential-access :: T1055.002,operation__stockpile_windows_depfalse_pshtrue__t1055_002__credential-access__process_injection-_portable_executable_injection__c9f2c7ae-0092-4ea0-b9ae-92014eba7ce7__SAVED_2024-03-09_181605,stockpile_windows_depfalse_pshtrue__t1055_002__credential-access__process_injection-_portable_executable_injection__c9f2c7ae-0092-4ea0-b9ae-92014eba7ce7,['c9f2c7ae-0092-4ea0-b9ae-92014eba7ce7'],['Inject Cred dumper into process (Spookier)']
Initial-Success,defense-evasion,defense-evasion :: Process Injection: Dynamic-link Library Injection,defense-evasion :: ['Signed Binary Execution - odbcconf'],defense-evasion :: T1055.001,operation__stockpile_windows_depfalse_pshtrue__t1055_001__defense-evasion__process_injection-_dynamic-link_library_injection__a74bc239-a196-4f7e-8d5c-fe8c0266071c__SAVED_2024-03-09_180658,stockpile_windows_depfalse_pshtrue__t1055_001__defense-evasion__process_injection-_dynamic-link_library_injection__a74bc239-a196-4f7e-8d5c-fe8c0266071c,['a74bc239-a196-4f7e-8d5c-fe8c0266071c'],['Signed Binary Execution - odbcconf']
Initial-Success,discovery,discovery :: System Network Connections Discovery,discovery :: ['Find System Network Connections'],discovery :: T1049,operation__stockpile_windows_depfalse_pshtrue__t1049__discovery__system_network_connections_discovery__638fb6bb-ba39-4285-93d1-7e4775b033a8__SAVED_2024-03-09_175805,stockpile_windows_depfalse_pshtrue__t1049__discovery__system_network_connections_discovery__638fb6bb-ba39-4285-93d1-7e4775b033a8,['638fb6bb-ba39-4285-93d1-7e4775b033a8'],['Find System Network Connections']
Initial-Success,collection,collection :: WMIC,collection :: ['WMIC Process Enumeration'],collection :: T1047,operation__stockpile_windows_depfalse_pshtrue__t1047__collection__wmic__94f21386-9547-43c4-99df-938ab05d45ce__SAVED_2024-03-09_174914,stockpile_windows_depfalse_pshtrue__t1047__collection__wmic__94f21386-9547-43c4-99df-938ab05d45ce,['94f21386-9547-43c4-99df-938ab05d45ce'],['WMIC Process Enumeration']
Initial-Success,discovery,discovery :: Network Service Scanning,discovery :: ['Network Service Scanning'],discovery :: T1046,operation__stockpile_windows_depfalse_pshtrue__t1046__discovery__network_service_scanning__5a4cb2be-2684-4801-9355-3a90c91e0004__SAVED_2024-03-09_174017,stockpile_windows_depfalse_pshtrue__t1046__discovery__network_service_scanning__5a4cb2be-2684-4801-9355-3a90c91e0004,['5a4cb2be-2684-4801-9355-3a90c91e0004'],['Network Service Scanning']
Initial-Success,discovery,discovery :: System Owner/User Discovery,discovery :: ['Current User'],discovery :: T1033,"operation__stockpile_windows_depfalse_pshtrue__t1033__discovery__system_owner,user_discovery__bd527b63-9f9e-46e0-9816-b8434d2b8989__SAVED_2024-03-09_171341","stockpile_windows_depfalse_pshtrue__t1033__discovery__system_owner,user_discovery__bd527b63-9f9e-46e0-9816-b8434d2b8989",['bd527b63-9f9e-46e0-9816-b8434d2b8989'],['Current User']
Initial-Success,discovery,discovery :: System Network Configuration Discovery,discovery :: ['Network Interface Configuration'],discovery :: T1016,operation__stockpile_windows_depfalse_pshtrue__t1016__discovery__system_network_configuration_discovery__e8017c46-acb8-400c-a4b5-b3362b5b5baa__SAVED_2024-03-09_153553,stockpile_windows_depfalse_pshtrue__t1016__discovery__system_network_configuration_discovery__e8017c46-acb8-400c-a4b5-b3362b5b5baa,['e8017c46-acb8-400c-a4b5-b3362b5b5baa'],['Network Interface Configuration']
Initial-Success,discovery,discovery :: System Network Configuration Discovery,discovery :: ['Preferred WIFI'],discovery :: T1016,operation__stockpile_windows_depfalse_pshtrue__t1016__discovery__system_network_configuration_discovery__a0676fe1-cd52-482e-8dde-349b73f9aa69__SAVED_2024-03-09_152703,stockpile_windows_depfalse_pshtrue__t1016__discovery__system_network_configuration_discovery__a0676fe1-cd52-482e-8dde-349b73f9aa69,['a0676fe1-cd52-482e-8dde-349b73f9aa69'],['Preferred WIFI']
Initial-Success,discovery,discovery :: System Network Configuration Discovery,discovery :: ['Find Domain'],discovery :: T1016,operation__stockpile_windows_depfalse_pshtrue__t1016__discovery__system_network_configuration_discovery__14a21534-350f-4d83-9dd7-3c56b93a0c17__SAVED_2024-03-09_150914,stockpile_windows_depfalse_pshtrue__t1016__discovery__system_network_configuration_discovery__14a21534-350f-4d83-9dd7-3c56b93a0c17,['14a21534-350f-4d83-9dd7-3c56b93a0c17'],['Find Domain']
Initial-Success,discovery,discovery :: System Network Configuration Discovery,discovery :: ['Scan WIFI networks'],discovery :: T1016,operation__stockpile_windows_depfalse_pshtrue__t1016__discovery__system_network_configuration_discovery__9a30740d-3aa8-4c23-8efa-d51215e8a5b9__SAVED_2024-03-09_151803,stockpile_windows_depfalse_pshtrue__t1016__discovery__system_network_configuration_discovery__9a30740d-3aa8-4c23-8efa-d51215e8a5b9,['9a30740d-3aa8-4c23-8efa-d51215e8a5b9'],['Scan WIFI networks']
Initial-Success,discovery,discovery :: Query Registry,discovery :: ['Query Registry'],discovery :: T1012,operation__stockpile_windows_depfalse_pshtrue__t1012__discovery__query_registry__2488245e-bcbd-405d-920e-2de27db882b3__SAVED_2024-03-09_150014,stockpile_windows_depfalse_pshtrue__t1012__discovery__query_registry__2488245e-bcbd-405d-920e-2de27db882b3,['2488245e-bcbd-405d-920e-2de27db882b3'],['Query Registry']
Initial-Success,discovery,discovery :: Application Window Discovery,discovery :: ['Application Window Discovery'],discovery :: T1010,operation__stockpile_windows_depfalse_pshtrue__t1010__discovery__application_window_discovery__5c65eec8-4839-4713-a4e1-86b2e75d1927__SAVED_2024-03-09_145110,stockpile_windows_depfalse_pshtrue__t1010__discovery__application_window_discovery__5c65eec8-4839-4713-a4e1-86b2e75d1927,['5c65eec8-4839-4713-a4e1-86b2e75d1927'],['Application Window Discovery']
